sweep,chunks,one_big_output_stable,split_output_stable,one_big_haircut_bps,split_haircut_bps,split_advantage_stable
dump_500k_split_sweep,1,497487252601,497487252601,50.254948,50.254948,0
dump_500k_split_sweep,2,497487252601,497495517755,50.254948,50.089645,8265154
dump_500k_split_sweep,3,497487252601,497497564782,50.254948,50.048704,10312181
dump_500k_split_sweep,4,497487252601,497498419674,50.254948,50.031607,11167073
dump_500k_split_sweep,5,497487252601,497498869831,50.254948,50.022603,11617230
dump_500k_split_sweep,6,497487252601,497499140585,50.254948,50.017188,11887984
dump_500k_split_sweep,7,497487252601,497499318185,50.254948,50.013636,12065584
dump_500k_split_sweep,8,497487252601,497499442034,50.254948,50.011159,12189433
dump_500k_split_sweep,9,497487252601,497499532480,50.254948,50.009350,12279879
dump_500k_split_sweep,10,497487252601,497499600866,50.254948,50.007983,12348265
dump_500k_split_sweep,11,497487252601,497499654075,50.254948,50.006918,12401474
dump_500k_split_sweep,12,497487252601,497499696431,50.254948,50.006071,12443830
dump_500k_split_sweep,13,497487252601,497499730797,50.254948,50.005384,12478196
dump_500k_split_sweep,14,497487252601,497499759134,50.254948,50.004817,12506533
dump_500k_split_sweep,15,497487252601,497499782818,50.254948,50.004344,12530217
dump_500k_split_sweep,16,497487252601,497499802865,50.254948,50.003943,12550264
dump_500k_split_sweep,17,497487252601,497499820009,50.254948,50.003600,12567408
dump_500k_split_sweep,18,497487252601,497499834804,50.254948,50.003304,12582203
dump_500k_split_sweep,19,497487252601,497499847677,50.254948,50.003046,12595076
dump_500k_split_sweep,20,497487252601,497499858957,50.254948,50.002821,12606356
dump_500k_split_sweep,21,497487252601,497499868914,50.254948,50.002622,12616313
dump_500k_split_sweep,22,497487252601,497499877755,50.254948,50.002445,12625154
dump_500k_split_sweep,23,497487252601,497499885641,50.254948,50.002287,12633040
dump_500k_split_sweep,24,497487252601,497499892712,50.254948,50.002146,12640111
dump_500k_split_sweep,25,497487252601,497499899075,50.254948,50.002018,12646474
dump_500k_split_sweep,26,497487252601,497499904852,50.254948,50.001903,12652251
dump_500k_split_sweep,27,497487252601,497499910089,50.254948,50.001798,12657488
dump_500k_split_sweep,28,497487252601,497499914860,50.254948,50.001703,12662259
dump_500k_split_sweep,29,497487252601,497499919228,50.254948,50.001615,12666627
dump_500k_split_sweep,30,497487252601,497499923231,50.254948,50.001535,12670630
dump_500k_split_sweep,31,497487252601,497499926919,50.254948,50.001462,12674318
dump_500k_split_sweep,32,497487252601,497499930315,50.254948,50.001394,12677714
dump_500k_split_sweep,33,497487252601,497499933458,50.254948,50.001331,12680857
dump_500k_split_sweep,34,497487252601,497499936371,50.254948,50.001273,12683770
dump_500k_split_sweep,35,497487252601,497499939077,50.254948,50.001218,12686476
dump_500k_split_sweep,36,497487252601,497499941598,50.254948,50.001168,12688997
dump_500k_split_sweep,37,497487252601,497499943950,50.254948,50.001121,12691349
dump_500k_split_sweep,38,497487252601,497499946144,50.254948,50.001077,12693543
dump_500k_split_sweep,39,497487252601,497499948204,50.254948,50.001036,12695603
dump_500k_split_sweep,40,497487252601,497499950131,50.254948,50.000997,12697530
dump_500k_split_sweep,41,497487252601,497499951945,50.254948,50.000961,12699344
dump_500k_split_sweep,42,497487252601,497499953652,50.254948,50.000927,12701051
dump_500k_split_sweep,43,497487252601,497499955257,50.254948,50.000895,12702656
dump_500k_split_sweep,44,497487252601,497499956774,50.254948,50.000865,12704173
dump_500k_split_sweep,45,497487252601,497499958203,50.254948,50.000836,12705602
dump_500k_split_sweep,46,497487252601,497499959559,50.254948,50.000809,12706958
dump_500k_split_sweep,47,497487252601,497499960843,50.254948,50.000783,12708242
dump_500k_split_sweep,48,497487252601,497499962059,50.254948,50.000759,12709458
dump_500k_split_sweep,49,497487252601,497499963213,50.254948,50.000736,12710612
dump_500k_split_sweep,50,497487252601,497499964308,50.254948,50.000714,12711707
